frecuencia,intensidad
0.0,(-1.1990383647911173e+20+0j)
0.000559753708368318,(-1.2225117936282702e+19-1.9501146789371572e+19j)
0.001119507416736636,(7.136398210499123e+18+4.817881376785228e+18j)
0.0016792611251049538,(3.501367020831232e+18+1.7714334695774927e+19j)
0.002239014833473272,(-1.0532298431528737e+19-1.2184424984703451e+19j)
0.00279876854184159,(2.3333892887265477e+19-9.593269678585549e+18j)
0.0033585222502099076,(-1.7060689247583027e+19+4.1067341001728e+18j)
0.003918275958578226,(1.744828405399819e+18+1.0991067478579233e+19j)
0.004478029666946544,(1.3220958430732149e+19-1.3710350461202723e+19j)
0.005037783375314861,(-7.495101831757758e+18-1.801037426068292e+19j)
0.00559753708368318,(4.4000670745658435e+18+2.22222441292829e+19j)
0.0061572907920514975,(-1.687177626238586e+19-1.0278824496789742e+19j)
0.006717044500419815,(1.531492028467242e+19-1.3926517646444085e+19j)
0.007276798208788134,(-1.1950384469830605e+18-7.277103298609414e+18j)
0.007836551917156452,(-2.9597060290360435e+19-1.6249055617697341e+19j)
0.008396305625524769,(-5.787414383713314e+19-9.766789662262483e+19j)
0.008956059333893087,(2.5711459027735683e+19-9.198371538063206e+17j)
0.009515813042261406,(6.346243709942216e+18+2.2281650668328206e+19j)
0.010075566750629723,(-6.60266329942464e+18+1.5662006917509517e+19j)
0.010635320458998041,(1.1452789839125062e+19-1.2583353481174563e+19j)
0.01119507416736636,(2.309183733688484e+19+1.4241216454537394e+19j)
0.011754827875734676,(-1.0098757832975434e+19-1.1257783421112185e+19j)
0.012314581584102995,(1.9413069358806333e+18+7.025372884251353e+18j)
0.012874335292471313,(2.494033306960784e+19+2.4357745996571443e+17j)
0.01343408900083963,(8.252982564231239e+18-1.8652711835886813e+19j)
0.013993842709207949,(-1.4821324004854241e+19+1.3832069652828058e+19j)
0.014553596417576267,(5.072840107283741e+18-2.4581112907994268e+19j)
0.015113350125944586,(2.410071324678139e+19+1.2548199777738916e+18j)
0.015673103834312904,(8.090132598626351e+18-1.4416458524398993e+19j)
0.01623285754268122,(4.435764324709209e+18-3.870521735736458e+19j)
0.016792611251049538,(4.681726080032941e+19-8.340160434205377e+19j)
0.017352364959417856,(4.179101921449306e+18+4.855414204551322e+19j)
0.017912118667786175,(-2.199288008553446e+19+2.805527911903943e+19j)
0.018471872376154493,(-1.373189562217158e+19+7.613843740045472e+18j)
0.019031626084522812,(1.945354666781342e+19+8.14976608456942e+18j)
0.01959137979289113,(3.0004978914306867e+18+2.7462959411165295e+19j)
0.020151133501259445,(5.836215542369851e+18-1.2181831174892851e+19j)
0.020710887209627764,(7.86037875896064e+17+1.1799932249191764e+19j)
0.021270640917996082,(1.7198082863598703e+19+2.036093271322157e+19j)
0.0218303946263644,(1.8603189294156747e+19-9.250417384540867e+18j)
0.02239014833473272,(-1.8177660115795053e+19-4.4970102742617846e+18j)
0.022949902043101038,(2.849102832725283e+19-6.674189119015499e+18j)
0.023509655751469353,(1.43440228352599e+19+2.2402605996394156e+19j)
0.02406940945983767,(2.005840210202671e+19-2.5335947684823757e+18j)
0.02462916316820599,(3.2931656422610563e+19-1.2367432367707603e+19j)
0.02518891687657431,(6.973924570090695e+19+1.184445587387606e+18j)
0.025748670584942627,(-6.6454712823528776e+19+3.476844955211776e+19j)
0.026308424293310945,(-4.208768324131757e+19-3.7809628180701174e+18j)
0.02686817800167926,(-1.151998331245328e+19-2.4300858126177413e+18j)
0.02742793171004758,(3.547073045865353e+18+2.505670731111996e+19j)
0.027987685418415897,(-1.853613983338656e+19+1.8569786781095756e+19j)
0.028547439126784216,(1.3171944552662346e+19+2.7395153202762342e+17j)
